Highest level of education for World,Count,Percentage,Percentage in 2018,Difference with previous year
doctorate,348,34.90471414242728,39.798994974874375,-4.8942808324470946
Master degree,221,22.166499498495487,29.447236180904525,-7.280736682409039
Doctorate,140,14.042126379137413,5.326633165829145,8.715493213308267
undergraduate,64,6.41925777331996,8.944723618090453,-2.525465844770493
,31,3.1093279839518555,0.4020100502512563,2.7073179337005993
doctorat,29,2.908726178535607,,
wo (wetenschappelijk onderwijs) master,26,2.6078234704112337,2.0100502512562812,0.5977732191549525
Master's degree,24,2.4072216649949847,,
aqf 10 - doctoral degree,19,1.9057171514543632,6.331658291457286,-4.425941140002923
other,7,0.7021063189568706,0.8040201005025126,-0.10191378154564201
aqf 8 - bachelor honours degree / graduate certificate / graduate diploma,7,0.7021063189568706,1.306532663316583,-0.6044263443597124
"final secondary-school examinations, general qualification for university entrance",5,0.5015045135406219,0.7035175879396985,-0.20201307439907668
PhD,5,0.5015045135406219,0.8040201005025126,-0.30251558696189074
aqf 9 - masters degree,4,0.4012036108324975,1.105527638190955,-0.7043240273584574
masters degree,4,0.4012036108324975,0.10050251256281408,0.30070109826968344
Licentiate degree,3,0.3009027081243731,,
hbo (hoger beroepsonderwijs) master,3,0.3009027081243731,0.3015075376884422,-0.0006048295640690982
high school,2,0.20060180541624875,,
bac +5,2,0.20060180541624875,,
doctorat (phd),2,0.20060180541624875,,
bac+5,2,0.20060180541624875,,
associate,2,0.20060180541624875,,
diplôme dingénieur,2,0.20060180541624875,,
hbo (hoger beroepsonderwijs) bachelor,2,0.20060180541624875,0.10050251256281408,0.10009929285343468
aqf 7 - bachelor degree,2,0.20060180541624875,1.105527638190955,-0.9049258327747062
Masters,2,0.20060180541624875,,
Bachelor's degree,2,0.20060180541624875,,
further education,2,0.20060180541624875,,
High School,1,0.10030090270812438,,
doctorant,1,0.10030090270812438,,
bac+2,1,0.10030090270812438,,
bsc (currently attending; not graduated),1,0.10030090270812438,,
magister,1,0.10030090270812438,,
bsc in computer science,1,0.10030090270812438,,
master degree,1,0.10030090270812438,,
B.Tech,1,0.10030090270812438,,
ma,1,0.10030090270812438,,
Bachelor,1,0.10030090270812438,,
enrolled in phd (computer science),1,0.10030090270812438,,
masters of science,1,0.10030090270812438,,
maestria,1,0.10030090270812438,,
bsc,1,0.10030090270812438,,
hochschule,1,0.10030090270812438,,
doctorat + 2ans de post-doc,1,0.10030090270812438,,
Undergraduate degree,1,0.10030090270812438,0.3015075376884422,-0.20120663498031782
Pre-bachelor,1,0.10030090270812438,,
habilitation à diriger des thèses - thèse,1,0.10030090270812438,,
associate  (typically from a community college),1,0.10030090270812438,,
none,1,0.10030090270812438,,
Bachelors,1,0.10030090270812438,,
graduate degree,1,0.10030090270812438,,
phd candidate,1,0.10030090270812438,,
bac+4,1,0.10030090270812438,,
mastère spécialisé (bac +6),1,0.10030090270812438,,
bac +3,1,0.10030090270812438,,
diplome dingenieur (baccalaureat +5),1,0.10030090270812438,,
wo (wetenschappelijk onderwijs) bachelor,1,0.10030090270812438,0.3015075376884422,-0.20120663498031782
je suis actuellement en doctorat,1,0.10030090270812438,,
italian laurea (5 years with thesis) roughly master,1,0.10030090270812438,,
applicable,1,0.10030090270812438,,
bac+8,1,0.10030090270812438,,
"further education (nvq a-level, )",1,0.10030090270812438,0.4020100502512563,-0.30170914754313194
gsces,1,0.10030090270812438,0.10050251256281408,-0.00020160985468969939
